date,usdt_adj_vol,usdt_supply,usdt_circulating_supply
2024/5/31 0:00,21639658457.15749,111702242366.80005,111996172620.764
2024/6/1 0:00,12831937606.065317,111777248900.03,112141340734.728
2024/6/2 0:00,10791176222.525845,111776897309.41006,112210010734.728
2024/6/3 0:00,23068474692.47308,111842093794.45001,112210010734.316
2024/6/4 0:00,23067844707.351383,111875516935.17004,112286364258.112
2024/6/5 0:00,23654887659.582108,111950522485.22,112316773848.083
2024/6/6 0:00,24819292125.284115,111983325930.78004,112392062235.468
2024/6/7 0:00,24808416919.174507,112008205551.27998,112432615055.284
2024/6/8 0:00,13119186310.19233,112010853786.48,112453114731.331
2024/6/9 0:00,9412908011.126425,112042103540.34001,112451964717.428
2024/6/10 0:00,18905180598.11189,112076080323.87001,112480965357.27
2024/6/11 0:00,24201648874.830494,112058879625.44008,112496265357.229
2024/6/12 0:00,23017521201.715588,112103256438.87,112496265357.229
2024/6/13 0:00,22642737480.40311,112113455251.29001,112544030567.115
2024/6/14 0:00,23016221114.883923,112115658870.11,112559449770.646
2024/6/15 0:00,12988631914.17283,112109035613.27997,112559949271.119
2024/6/16 0:00,9280100303.92609,112105948176.23994,112559949271.119
2024/6/17 0:00,20172311078.68984,112097398041.80006,112560892637.152
2024/6/18 0:00,22317714269.098988,112162882377.28995,112552589019.021
2024/6/19 0:00,20418399341.63693,112166670979.10004,112606076384.236
2024/6/20 0:00,23150370902.400078,112446200007.20995,112891354601.683
2024/6/21 0:00,23401244782.17477,112501110973.68991,112891354601.683
2024/6/22 0:00,10991957566.104921,112501610534.12997,112941691562.697
2024/6/23 0:00,9029062969.23626,112497141265.68999,112941691562.696
2024/6/24 0:00,24254642724.146805,112491513772.80998,112951263991.531
2024/6/25 0:00,22707428839.062874,112386282984.51,112934363981.531
2024/6/26 0:00,22723364900.61263,112319271481.25003,112829626104.055
2024/6/27 0:00,22262818697.177704,112311986615.68994,112780783337.505
2024/6/28 0:00,21962315420.05669,112343640727.51001,112807784426.237
2024/6/29 0:00,11020402700.522913,112448978416.87003,1.12811E+11
2024/6/30 0:00,11393866834.545189,112432363182.95003,112911493076.316
2024/7/1 0:00,22343281962.65183,112350131453.81004,112874989522.076
2024/7/2 0:00,21886692841.379692,112198982068.88007,112787335849.362
2024/7/3 0:00,22296031023.793903,112049883300.98003,112644773125.907
2024/7/4 0:00,22684738157.94547,111940159939.73996,112484875382.935
2024/7/5 0:00,28103003616.897015,111790765959.79001,112301290554.48
2024/7/6 0:00,11956055870.760569,111780802392.44002,112223789756.28
2024/7/7 0:00,9885187201.631475,111782668134.71997,112223789756.28
2024/7/8 0:00,22412460960.113674,111784213765.12999,112209782589.341
2024/7/9 0:00,21344086741.23371,111831582619.74002,112207150564.86
2024/7/10 0:00,21726614631.064266,111937224990.06004,112259808785.143
2024/7/11 0:00,22136043855.028725,111943181055.69006,112259808785.143
2024/7/12 0:00,21302589922.52891,111988012304.58006,112368902073.181
2024/7/13 0:00,11992145262.919155,112038032433.70998,112417360493.783
2024/7/14 0:00,11263973635.221273,112108965057.72998,112466925458.783
2024/7/15 0:00,27172268111.35384,112442825343.19997,112536925458.193
2024/7/16 0:00,25621330679.571686,112788306134.92003,112862180225.157
2024/7/17 0:00,23387709344.863815,113194061550.18001,113224555138.644
2024/7/18 0:00,21829685373.40083,113253284089.96996,113632416636.038
2024/7/19 0:00,23014146117.707695,113451872194.69997,113696229620.945
2024/7/20 0:00,12064463765.578842,113617135199.34998,113877604814.343
2024/7/21 0:00,11073761226.321411,113667985013.64003,114039204814.276
2024/7/22 0:00,23570637493.99648,113796361860.56003,114084704813.379
2024/7/23 0:00,24340166237.818066,113959628635.41008,114240216367.407
2024/7/24 0:00,21960995388.117,113940394600.56,114419695893.829
2024/7/25 0:00,22703667066.14403,113819780654.34003,114401179630.606
2024/7/26 0:00,22125845209.87933,113899991961.13995,114284179630.606
2024/7/27 0:00,12669471513.33623,113985752762.43007,114329209286.924
2024/7/28 0:00,9585203007.170177,113990515586.54996,114417852149.833
2024/7/29 0:00,24214111648.033096,114024941585.34999,114417852141.833
2024/7/30 0:00,22728364802.856037,114016928492.66998,114461602976.662
2024/7/31 0:00,23687084175.709362,114063947109.26004,114466136717.89
2024/8/1 0:00,24578236913.241364,113983562321.58002,114495496586.556
2024/8/2 0:00,24446604551.9154,113896326176.11,114501280130.737
2024/8/3 0:00,16332630059.152647,113965237457.74008,114542666302.877
2024/8/4 0:00,13775795862.705465,113751560130.17004,114527666301.354
2024/8/5 0:00,42520499130.45591,113576441783.06001,114527666301.096
2024/8/6 0:00,28862710858.916267,113916898250.43005,114422770628.491
2024/8/7 0:00,25068139995.634266,114375813165.88998,114551170628.491
2024/8/8 0:00,25130475168.927246,114967153934.44998,115017869041.692
2024/8/9 0:00,21848382646.180225,115424782468.62006,115404652458.269
2024/8/10 0:00,12130814842.914715,115237585539.38004,115659558844.627
2024/8/11 0:00,10290519648.081648,115326116268.76999,115638558844.627
2024/8/12 0:00,23194860196.92257,115512568795.58008,115638558844.547
2024/8/13 0:00,23524902692.182373,115884877001.37013,115638558844.547
2024/8/14 0:00,23479187967.1378,116161713869.38998,116183859406.619
2024/8/15 0:00,24276859956.04426,116364545588.99998,116532189829.292
2024/8/16 0:00,23454308271.07367,116446261765.20995,116713795918.019
