date,chain,pool_id,apy
2024-01-01 23:02:38.998,arbitrum,d9fa8e14-0447-42,16.48271
2024-01-02 23:02:13.125,arbitrum,d9fa8e14-0447-42,8.70405
2024-01-03 23:01:04.055,arbitrum,d9fa8e14-0447-42,13.93805
2024-01-04 23:01:02.567,arbitrum,d9fa8e14-0447-42,6.20675
2024-01-05 23:00:57.384,arbitrum,d9fa8e14-0447-42,12.6683
2024-01-06 23:00:57.245,arbitrum,d9fa8e14-0447-42,6.58721
2024-01-07 23:01:05.642,arbitrum,d9fa8e14-0447-42,3.90519
2024-01-08 23:01:08.660,arbitrum,d9fa8e14-0447-42,3.9881
2024-01-09 23:01:03.126,arbitrum,d9fa8e14-0447-42,9.93657
2024-01-10 23:01:07.923,arbitrum,d9fa8e14-0447-42,9.0
2024-01-11 23:00:56.713,arbitrum,d9fa8e14-0447-42,6.7468
2024-01-12 23:01:11.039,arbitrum,d9fa8e14-0447-42,14.70317
2024-01-13 23:01:10.082,arbitrum,d9fa8e14-0447-42,10.72864
2024-01-14 23:01:07.245,arbitrum,d9fa8e14-0447-42,4.71127
2024-01-15 23:01:07.658,arbitrum,d9fa8e14-0447-42,8.65747
2024-01-16 23:01:00.291,arbitrum,d9fa8e14-0447-42,9.25782
2024-01-17 23:01:51.288,arbitrum,d9fa8e14-0447-42,12.03862
2024-01-18 23:01:29.433,arbitrum,d9fa8e14-0447-42,4.70104
2024-01-19 23:01:26.296,arbitrum,d9fa8e14-0447-42,9.44559
2024-01-20 23:01:08.178,arbitrum,d9fa8e14-0447-42,4.42621
2024-01-21 23:00:59.923,arbitrum,d9fa8e14-0447-42,4.57073
2024-01-22 23:00:59.098,arbitrum,d9fa8e14-0447-42,4.59227
2024-01-23 23:01:43.232,arbitrum,d9fa8e14-0447-42,4.7599
2024-01-24 23:01:13.393,arbitrum,d9fa8e14-0447-42,4.56785
2024-01-25 23:01:07.060,arbitrum,d9fa8e14-0447-42,4.60962
2024-01-26 23:01:10.587,arbitrum,d9fa8e14-0447-42,4.84823
2024-01-27 23:01:05.973,arbitrum,d9fa8e14-0447-42,4.7118
